iter	Quantile:alpha=0.9
0	211.3527609
1	202.1254102
2	192.9361632
3	184.2239816
4	176.0989186
5	168.3315617
6	161.5494527
7	155.570305
8	150.0564281
9	144.6434008
10	139.3499003
11	134.524983
12	130.0109984
13	125.7570911
14	122.1346949
15	118.5143958
16	115.1198826
17	111.9327048
18	108.9047021
19	105.9414695
20	102.9232566
21	100.4913938
22	98.02637484
23	95.67572296
24	93.40344744
25	90.97236264
26	89.0020468
27	87.23128091
28	85.34855181
29	83.46532409
30	81.67906279
31	80.00949393
32	78.53657827
33	76.97384478
34	75.36903439
35	73.75107958
36	72.4266084
37	71.24735176
38	70.02023137
39	68.81282833
40	67.72149825
41	66.53299101
42	65.53102259
43	64.47231016
44	63.64840768
45	62.87089841
46	62.44084837
47	61.48731032
48	60.63671693
49	59.8250081
50	59.02384636
51	58.20524328
52	57.46836752
53	56.82248929
54	56.10351765
55	55.49661643
56	54.90921626
57	54.2279836
58	53.61222893
59	53.14763237
60	52.67115122
61	52.04542086
62	51.53842415
63	51.05650361
64	50.58103524
65	50.13705897
66	49.61561237
67	49.14198483
68	48.81144106
69	48.35838167
70	47.93192341
71	47.53279984
72	47.19271525
73	46.90501914
74	46.55723505
75	46.22973797
76	45.93729802
77	45.5444517
78	45.26013369
79	44.9190657
80	44.60269252
81	44.29954651
82	44.0639858
83	43.71669356
84	43.44836582
85	43.20826317
86	42.977177
87	42.74282009
88	42.45748092
89	42.2363731
90	42.03237824
91	41.75326153
92	41.48340472
93	41.23055994
94	41.01827647
95	40.73327947
96	40.5235145
97	40.3237853
98	40.11769066
99	39.94397786
100	39.78624839
101	39.62950694
102	39.43661564
103	39.25402839
104	39.10088695
105	38.90293853
106	38.75688303
107	38.51176257
108	38.38298465
109	38.1851279
110	38.05268448
111	37.88231464
112	37.71481622
113	37.52704279
114	37.36277136
115	37.24168755
116	37.0841646
117	36.92991343
118	36.79420452
119	36.65615869
120	36.4994787
121	36.35350243
122	36.18657737
123	36.04868378
124	35.89311516
125	35.71135692
126	35.58242006
127	35.45528929
128	35.30163056
129	35.16973379
130	35.0956425
131	34.98930506
132	34.85742983
133	34.71851603
134	34.65129799
135	34.48162672
136	34.3820564
137	34.29423907
138	34.13399188
139	34.00240061
140	33.85089852
141	33.76781252
142	33.64752725
143	33.52302313
144	33.36243276
145	33.26563649
146	33.14560188
147	33.05539366
148	32.93894724
149	32.86847812
150	32.72326887
151	32.62072063
152	32.54780117
153	32.41587159
154	32.26104457
155	32.19032644
156	32.12248859
157	32.02757996
158	31.94058961
159	31.81724659
160	31.72838285
161	31.66658826
162	31.53838858
163	31.42903914
164	31.34402242
165	31.28818698
166	31.20552345
167	31.18582712
168	31.08538505
169	31.0139586
170	30.91401862
171	30.87807393
172	30.76990352
173	30.67493675
174	30.60937423
175	30.52184353
176	30.46913263
177	30.38517584
178	30.35206506
179	30.27487273
180	30.177835
181	30.11097454
182	30.04908565
183	29.97088574
184	29.89806788
185	29.79908347
186	29.74668006
187	29.66196355
188	29.58895439
189	29.48575055
190	29.39567885
191	29.26108078
192	29.19786171
193	29.13330821
194	29.0302303
195	28.96058726
196	28.89852801
197	28.86261018
198	28.78031412
199	28.67877276
200	28.59673349
201	28.53847112
202	28.46934321
203	28.38739849
204	28.3145484
205	28.22363656
206	28.1738868
207	28.11759698
208	28.06578508
209	28.00064488
210	27.9723031
211	27.90383833
212	27.86340068
213	27.78513624
214	27.70402052
215	27.64098231
216	27.58762596
217	27.56449583
218	27.53314879
219	27.50988168
220	27.45179139
221	27.36130852
222	27.30975225
223	27.24945438
224	27.15812824
225	27.10160316
226	27.01921316
227	26.94502415
228	26.92089435
229	26.86298699
230	26.81587414
231	26.76536172
232	26.71303227
233	26.67075195
234	26.57707994
235	26.54764089
236	26.51392139
237	26.43388551
238	26.36546479
239	26.31486152
240	26.25689822
241	26.20108524
242	26.13616271
243	26.11110763
244	26.06731605
245	26.02625454
246	26.00959851
247	25.93004017
248	25.91788624
249	25.85824583
250	25.81152032
251	25.74282921
252	25.71253523
253	25.68901269
254	25.65390275
255	25.59872182
256	25.5377264
257	25.50889359
258	25.45193704
259	25.4460893
260	25.41708557
261	25.3436082
262	25.28398929
263	25.26407345
264	25.23719492
265	25.20814207
266	25.19249019
267	25.14356809
