iter	Passed	Remaining
0	48	24296
1	89	22316
2	129	21471
3	167	20772
4	207	20567
5	247	20383
6	285	20129
7	323	19865
8	360	19677
9	398	19513
10	436	19420
11	475	19338
12	511	19170
13	550	19103
14	588	19019
15	627	18993
16	667	18964
17	706	18919
18	749	18974
19	790	18966
20	829	18913
21	868	18868
22	905	18779
23	950	18848
24	990	18828
25	1032	18829
26	1072	18784
27	1115	18796
28	1153	18732
29	1191	18671
30	1230	18615
31	1267	18541
32	1305	18473
33	1342	18405
34	1381	18356
35	1421	18326
36	1461	18283
37	1500	18239
38	1537	18174
39	1575	18123
40	1614	18076
41	1653	18028
42	1690	17965
43	1728	17917
44	1766	17861
45	1807	17834
46	1822	17566
47	1858	17499
48	1896	17455
49	1935	17422
50	1974	17387
51	2015	17360
52	2055	17335
53	2094	17303
54	2136	17287
55	2176	17258
56	2215	17217
57	2254	17180
58	2293	17141
59	2330	17091
60	2368	17047
61	2408	17011
62	2445	16963
63	2485	16935
64	2524	16895
65	2563	16858
66	2603	16828
67	2644	16803
68	2684	16766
69	2725	16741
70	2765	16708
71	2804	16674
72	2843	16631
73	2881	16589
74	2919	16545
75	2959	16508
76	2998	16470
77	3037	16432
78	3078	16405
79	3119	16375
80	3158	16338
81	3197	16301
82	3235	16253
83	3274	16216
84	3313	16179
85	3353	16141
86	3391	16101
87	3431	16067
88	3471	16031
89	3511	15998
90	3552	15965
91	3591	15928
92	3631	15892
93	3670	15855
94	3710	15817
95	3748	15774
96	3788	15738
97	3826	15696
98	3869	15672
99	3909	15638
100	3949	15603
101	3989	15567
102	4031	15540
103	4073	15512
104	4112	15471
105	4152	15436
106	4189	15389
107	4228	15346
108	4265	15302
109	4305	15264
110	4346	15232
111	4385	15191
112	4424	15152
113	4464	15117
114	4503	15075
115	4541	15034
116	4579	14991
117	4618	14950
118	4657	14913
119	4697	14874
120	4737	14838
121	4776	14798
122	4815	14758
123	4853	14718
124	4892	14677
125	4934	14647
126	4976	14616
127	5017	14581
128	5058	14549
129	5102	14521
130	5139	14476
131	5177	14434
132	5215	14392
133	5255	14355
134	5294	14313
135	5333	14276
136	5373	14238
137	5411	14195
138	5454	14165
139	5492	14123
140	5532	14086
141	5570	14044
142	5610	14007
143	5650	13969
144	5687	13924
145	5727	13887
146	5767	13848
147	5807	13813
148	5850	13781
149	5889	13741
150	5930	13706
151	5972	13674
152	6017	13647
153	6058	13611
154	6097	13572
155	6138	13536
156	6179	13500
157	6219	13462
158	6260	13426
159	6299	13385
160	6339	13347
161	6379	13309
162	6418	13271
163	6460	13235
164	6501	13199
165	6539	13158
166	6580	13121
167	6596	13036
168	6632	12989
169	6670	12949
170	6711	12912
171	6750	12872
172	6791	12837
173	6830	12797
174	6869	12756
175	6909	12718
176	6952	12688
177	6994	12652
178	7030	12608
179	7069	12568
180	7112	12534
181	7153	12498
182	7195	12464
183	7237	12429
184	7279	12394
185	7325	12366
186	7369	12335
187	7409	12296
188	7449	12258
189	7490	12220
190	7528	12179
191	7567	12138
192	7607	12101
193	7646	12060
194	7683	12018
195	7722	11977
196	7764	11941
197	7802	11900
198	7839	11858
199	7878	11818
200	7924	11788
201	7968	11755
202	8011	11721
203	8054	11686
204	8094	11648
205	8135	11610
206	8175	11572
