iteration,train_rmse,validation_rmse
0,982.0219968257456,985.0715570091673
1,947.5975145869357,950.9160881000705
2,914.9312175429046,918.2314654703878
3,884.6497668730442,887.2238218728796
4,854.0594624551,855.8252355640448
5,825.96602442782,827.3100032532782
6,800.0081744188792,801.3847295327656
7,775.9086744840658,777.3123113088244
8,752.0334194604766,752.3801891097012
9,730.2256109732425,730.1642733560883
10,707.8476789119068,707.6218911652653
11,687.2887455199713,686.9500064083535
12,667.3285641917745,666.4117748822111
13,648.3879840647489,647.1262937258273
14,630.9826587993149,629.011886562654
15,613.9920936398399,611.8058980447303
16,598.0517073428794,595.0796209485087
17,583.8580159035395,580.609075124292
18,570.1458105302672,567.8463625445687
19,556.6892461851533,554.3380799361438
20,543.1290203135368,540.5329281515839
21,531.4037241897665,528.7069611691286
22,518.9062549118992,515.9812903922505
23,507.79548432252136,505.06678467462024
24,496.433973605813,493.2898274318572
25,486.2832638827502,483.17897889702243
26,476.88974971501824,473.527535180703
27,467.8785747306734,464.4079113700435
28,458.9175445941269,455.219462438424
29,450.66436153835207,446.7957549563151
30,442.70183124958606,438.8653705493307
31,435.0704890270492,431.5318364699965
32,427.6219068113899,423.90184655916585
33,420.547231355893,416.4070931018741
34,414.2976631369924,409.5494362015217
35,408.7276926049878,403.6506045809297
36,402.2639440611692,398.03734471626774
37,396.8671540490939,392.9532307527983
38,391.16511566307986,386.7084354234676
39,386.3426858249379,382.2198434033274
40,381.91211802383697,377.7012562678383
41,377.342847742585,373.05766955263505
42,373.0461673103544,369.0252243658226
43,368.4876765030077,364.0171745272721
44,364.6277268146981,360.2757762590996
45,360.9670930669544,356.3833103651365
46,357.7309973492134,353.0440216058893
47,354.13398078137624,349.51567710501473
48,350.6391814832557,345.8937309703853
49,346.8666297974672,342.16624966817733
50,343.4690221465922,339.07611138819095
51,339.82599656547563,335.2323791765561
52,336.54508090442533,331.92327532621096
53,333.4431415690484,329.09772152960113
54,330.49100844927165,326.1163261738768
55,327.4610340271491,322.90477774230027
56,324.2214356155717,319.3414721983664
57,321.3897844521301,316.7495132175149
58,318.70362552428236,313.66305590511575
59,315.99661836746805,311.0117536283568
60,313.32155889683224,308.468722261148
61,310.6342392062234,305.5583771525604
62,308.2250261848803,302.66260876548216
63,305.57099451739646,299.84690533116833
64,303.4468265926658,297.8313410943039
65,301.2234042518096,295.34139670207935
66,299.2088139212677,293.3967209905099
67,297.02326275270593,291.1617292890832
68,295.14970993826074,289.209007864436
69,293.19064226226493,287.09652719009796
70,291.13432432112654,284.77949555114793
71,289.4520781243395,283.1928036139786
72,287.2613785783666,280.865522863065
73,285.4664754057349,279.23208640120896
74,283.468586155854,276.9675353228686
75,281.81968039385634,275.32088111329153
76,280.26604278585626,273.7121519003047
77,278.762762549304,272.0289898658605
78,276.81446536576505,269.96077635481237
79,275.2882799271069,268.62907725215734
80,273.92382689651294,267.1622789406811
81,272.2193554561702,265.52077537855695
82,270.33195179380414,263.61376782910185
83,268.664133295583,262.2606401584252
84,267.2799393845832,260.87999657107173
85,265.7315010390209,259.19246722228587
86,264.6162956364149,257.95194079561793
87,263.5001343021106,256.7142080054491
88,262.3134262098097,255.33372750231405
89,261.128583988264,254.42537891100417
90,259.72933590121727,253.17171234332204
91,258.3173632340644,251.8581596567239
92,257.2247291798401,250.45096692353562
93,255.7471213628861,248.97603289081886
94,254.78508992522953,247.8916910229072
95,253.89682237618257,246.73309485782198
96,252.55446675412907,245.45992146070657
97,251.6879358104226,244.22543731939834
98,250.54568429937765,243.14093670775748
99,249.46785445193854,242.13028025336484
100,248.43260023059037,240.87367046853598
101,247.17622242580592,239.92821265351262
102,246.09763608650258,238.72743132902465
103,245.14650549978876,237.83165720985042
104,244.33964836906128,236.9222369481067
