iter	RMSE
0	982.0219968
1	947.5975146
2	914.9312175
3	884.6497669
4	854.0594625
5	825.9660244
6	800.0081744
7	775.9086745
8	752.0334195
9	730.225611
10	707.8476789
11	687.2887455
12	667.3285642
13	648.3879841
14	630.9826588
15	613.9920936
16	598.0517073
17	583.8580159
18	570.1458105
19	556.6892462
20	543.1290203
21	531.4037242
22	518.9062549
23	507.7954843
24	496.4339736
25	486.2832639
26	476.8897497
27	467.8785747
28	458.9175446
29	450.6643615
30	442.7018312
31	435.070489
32	427.6219068
33	420.5472314
34	414.2976631
35	408.7276926
36	402.2639441
37	396.867154
38	391.1651157
39	386.3426858
40	381.912118
41	377.3428477
42	373.0461673
43	368.4876765
44	364.6277268
45	360.9670931
46	357.7309973
47	354.1339808
48	350.6391815
49	346.8666298
50	343.4690221
51	339.8259966
52	336.5450809
53	333.4431416
54	330.4910084
55	327.461034
56	324.2214356
57	321.3897845
58	318.7036255
59	315.9966184
60	313.3215589
61	310.6342392
62	308.2250262
63	305.5709945
64	303.4468266
65	301.2234043
66	299.2088139
67	297.0232628
68	295.1497099
69	293.1906423
70	291.1343243
71	289.4520781
72	287.2613786
73	285.4664754
74	283.4685862
75	281.8196804
76	280.2660428
77	278.7627625
78	276.8144654
79	275.2882799
80	273.9238269
81	272.2193555
82	270.3319518
83	268.6641333
84	267.2799394
85	265.731501
86	264.6162956
87	263.5001343
88	262.3134262
89	261.128584
90	259.7293359
91	258.3173632
92	257.2247292
93	255.7471214
94	254.7850899
95	253.8968224
96	252.5544668
97	251.6879358
98	250.5456843
99	249.4678545
100	248.4326002
101	247.1762224
102	246.0976361
103	245.1465055
104	244.3396484
105	243.4086864
106	242.6513449
107	241.7791275
108	240.8989189
109	240.0737522
110	239.0473017
111	238.2453579
112	237.0781261
113	236.4121287
114	235.4553715
115	234.4474472
116	233.7139768
117	232.9505494
118	232.366362
119	231.7801077
120	230.9729902
121	230.2708298
122	229.1818999
123	228.417574
124	227.6675948
125	226.8429767
126	226.2293626
127	225.4857926
128	225.0350319
129	224.247892
130	223.6140441
131	222.9153561
132	222.0555811
133	221.3435373
134	220.6519395
135	220.1965741
136	219.6444257
137	218.8384367
138	218.1233956
139	217.2178763
140	216.633256
141	215.9168481
142	215.4196992
143	214.8042632
144	214.3914426
145	213.9361754
146	213.4408299
147	212.647603
148	211.5215283
149	211.1040204
150	210.6196122
151	210.1532739
152	209.2276163
153	208.3908526
154	207.9849517
155	207.4400388
156	206.8471339
157	206.3414431
158	205.5214817
159	205.1214014
160	204.721477
161	204.2418821
162	203.7858833
163	203.3392205
164	202.7523765
165	202.2303181
166	201.8973184
167	201.3719293
168	200.6781427
169	200.2466833
170	199.7213966
171	199.2660164
172	198.7936172
173	197.5183055
174	196.4467183
175	196.0132275
176	195.7126762
177	195.4192031
178	194.9840661
179	194.5925798
180	194.136093
181	193.6150415
182	193.2281811
183	192.7955143
184	192.4301576
185	192.0706709
186	191.5232639
187	191.1340419
188	190.7390082
189	190.2944742
190	189.9349392
191	189.5225959
192	189.1435688
193	188.8167642
194	188.3820011
195	188.0674736
196	187.5243441
197	186.9032859
198	186.264502
199	184.3834467
200	183.9989085
201	183.396265
202	182.8582293
203	182.6147836
204	182.294319
205	181.719768
206	181.4028868
207	181.126237
208	180.6209964
209	180.2379004
210	179.7814454
211	179.5153836
212	179.1596687
213	178.6604261
214	178.4025524
215	178.1015771
216	177.6427867
217	177.2674371
218	176.9085802
219	176.6008108
220	176.3327409
221	176.0129536
222	175.4717776
223	175.2024366
224	174.8940285
225	174.5947628
226	174.3670114
227	173.9936041
228	173.620129
229	173.3419073
230	173.0610397
231	172.5841894
232	172.1817423
233	171.8654259
234	171.5970629
235	171.1380745
236	170.8091607
237	170.4635911
238	170.0632461
239	169.8501485
240	169.4616623
241	169.2240839
242	168.9352987
243	168.5867738
244	168.4112173
245	168.1495904
246	167.8560557
247	167.6593423
248	167.3670748
249	166.8563777
250	166.438256
251	166.1731438
252	165.8621614
253	165.4635721
254	165.1647021
255	164.6139574
256	164.2792658
257	163.8006611
258	163.375034
259	163.0911185
260	162.9410044
261	162.6738432
262	162.3929387
263	162.1089289
264	161.8059435
265	161.5632914
266	161.3009037
267	161.088396
268	160.7730814
269	160.4215895
270	160.1845657
271	159.8247972
272	159.4704388
273	159.2105711
274	158.9677461
275	158.844789
276	158.1411462
277	157.749048
278	157.1806358
279	156.8923191
280	156.604447
281	156.4019098
282	156.1896927
283	156.0271527
284	155.6698949
285	155.4487525
286	155.2326712
287	153.8147601
288	153.5553644
289	153.301223
290	153.0909338
291	151.6524097
292	151.2958127
293	151.0620354
294	150.722499
295	150.4373424
296	150.1340943
297	149.8410531
298	149.626179
299	149.3452459
300	149.0274975
301	148.7129192
302	148.4565568
303	147.934828
304	147.6602355
305	147.3819172
306	147.0374725
307	146.8453778
308	146.5328679
309	146.3157438
310	146.1244894
311	145.9653562
312	145.7334873
313	145.4947007
314	144.9085263
315	144.5998561
316	144.4618212
317	144.1722943
318	143.9145641
319	143.6528727
320	143.5495207
321	143.3855561
322	143.0660742
323	142.5248073
324	142.422886
325	142.3276018
326	142.1372386
327	141.8640089
328	141.6690941
329	141.463026
330	141.2404064
331	140.2462012
332	140.0134509
333	139.8137727
334	139.4765729
335	139.3345911
336	139.1626223
337	138.9831448
338	138.8273055
339	138.4094434
340	138.0705028
341	137.8533778
342	137.5711052
343	137.3070417
344	137.1740076
345	137.1163007
346	136.814844
347	136.5488989
348	136.322345
349	136.1404847
350	135.9579312
351	135.8149237
352	135.5823758
353	135.3211562
354	135.0944236
355	134.9060925
356	134.7135465
357	134.6418158
358	134.4515208
359	134.2853479
360	134.1438362
361	133.8245231
