iter	Passed	Remaining
0	47	23881
1	95	23791
2	133	22193
3	168	20946
4	209	20776
5	253	20889
6	297	20962
7	339	20872
8	380	20782
9	425	20857
10	465	20701
11	505	20543
12	546	20474
13	590	20505
14	632	20447
15	676	20450
16	721	20493
17	764	20466
18	808	20472
19	856	20546
20	904	20638
21	955	20750
22	997	20691
23	1040	20641
24	1083	20589
25	1127	20549
26	1169	20495
27	1216	20508
28	1263	20515
29	1311	20548
30	1357	20534
31	1403	20526
32	1454	20577
33	1497	20528
34	1545	20534
35	1594	20551
36	1637	20493
37	1682	20453
38	1727	20424
39	1771	20367
40	1816	20330
41	1859	20281
42	1905	20248
43	1948	20190
44	1995	20179
45	2044	20177
46	2096	20202
47	2144	20189
48	2184	20103
49	2237	20135
50	2283	20099
51	2329	20067
52	2377	20050
53	2423	20019
54	2470	19991
55	2519	19978
56	2580	20053
57	2626	20013
58	2673	19986
59	2720	19950
60	2762	19881
61	2808	19837
62	2860	19838
63	2906	19799
64	2952	19757
65	2996	19702
66	3040	19648
67	3085	19600
68	3129	19546
69	3175	19507
70	3219	19452
71	3264	19405
72	3310	19366
73	3355	19318
74	3401	19275
75	3448	19240
76	3491	19178
77	3538	19142
78	3586	19110
79	3629	19056
80	3679	19035
81	3728	19006
82	3775	18967
83	3823	18935
84	3874	18918
85	3923	18886
86	3971	18853
87	4016	18805
88	4057	18736
89	4097	18667
90	4141	18611
91	4183	18553
92	4225	18490
93	4267	18433
94	4311	18379
95	4354	18323
96	4396	18263
97	4439	18211
98	4480	18148
99	4522	18089
100	4564	18030
101	4604	17966
102	4649	17919
103	4695	17877
104	4739	17827
105	4785	17788
106	4834	17756
107	4883	17723
108	4930	17684
109	4974	17638
110	5017	17582
111	5059	17528
112	5103	17477
113	5145	17423
114	5188	17369
115	5231	17316
116	5278	17280
117	5320	17223
118	5361	17166
119	5403	17111
120	5447	17062
121	5488	17006
122	5530	16952
123	5573	16899
124	5614	16844
125	5655	16788
126	5699	16738
127	5744	16695
128	5788	16647
129	5832	16601
130	5875	16548
131	5918	16498
132	5958	16440
133	6000	16390
134	6045	16344
135	6088	16295
136	6131	16247
137	6172	16191
138	6213	16138
139	6256	16088
140	6299	16039
141	6343	15993
142	6388	15947
143	6429	15895
144	6472	15847
145	6516	15800
146	6560	15753
147	6601	15701
148	6644	15652
149	6695	15623
150	6741	15581
151	6784	15533
152	6833	15497
153	6880	15458
154	6923	15409
155	6969	15369
156	7014	15324
157	7058	15279
158	7102	15231
159	7146	15185
160	7192	15144
161	7235	15096
162	7278	15047
163	7324	15006
164	7366	14955
165	7408	14906
166	7455	14866
167	7500	14823
168	7545	14778
169	7585	14725
170	7631	14682
171	7675	14636
172	7721	14594
173	7768	14555
174	7815	14514
175	7861	14471
176	7905	14425
177	7951	14383
178	7994	14337
179	8039	14292
180	8082	14244
181	8128	14202
182	8169	14152
183	8211	14102
184	8256	14058
185	8299	14011
186	8343	13964
187	8386	13918
188	8432	13874
189	8474	13826
190	8516	13778
191	8562	13735
192	8606	13690
193	8649	13643
194	8693	13597
195	8738	13554
196	8781	13506
197	8824	13460
